episode_seed,total_steps,total_pulses,intercepted_count,interception_rate,wasted_dwells,dwell_waste_ratio,retuning_distance,total_reward,tier1_steps,tier2_steps,policy
99,500,500,9,1.7999999999999998,0,0.0,933.0,-363.15999999999974,0,0,Sweeper
100,500,500,8,1.6,0,0.0,933.0,-359.22999999999996,0,0,Sweeper
101,500,500,2,0.4,0,0.0,933.0,-382.6400000000003,0,0,Sweeper
102,500,500,5,1.0,0,0.0,933.0,-379.44,0,0,Sweeper
103,500,500,9,1.7999999999999998,0,0.0,933.0,-374.0899999999999,0,0,Sweeper
104,500,500,9,1.7999999999999998,0,0.0,933.0,-362.68999999999994,0,0,Sweeper
105,500,500,1,0.2,0,0.0,933.0,-372.6199999999999,0,0,Sweeper
106,500,500,7,1.4000000000000001,0,0.0,933.0,-376.05000000000007,0,0,Sweeper
107,500,500,9,1.7999999999999998,0,0.0,933.0,-367.19,0,0,Sweeper
108,500,500,8,1.6,0,0.0,933.0,-355.24,0,0,Sweeper
109,500,500,7,1.4000000000000001,0,0.0,933.0,-379.22,0,0,Sweeper
110,500,500,8,1.6,0,0.0,933.0,-379.7100000000001,0,0,Sweeper
111,500,500,5,1.0,0,0.0,933.0,-377.95000000000005,0,0,Sweeper
112,500,500,6,1.2,0,0.0,933.0,-371.06999999999994,0,0,Sweeper
113,500,500,8,1.6,0,0.0,933.0,-357.34999999999997,0,0,Sweeper
114,500,500,8,1.6,0,0.0,933.0,-354.83000000000004,0,0,Sweeper
115,500,500,6,1.2,0,0.0,933.0,-373.0500000000002,0,0,Sweeper
116,500,500,10,2.0,0,0.0,933.0,-364.1500000000001,0,0,Sweeper
117,500,500,1,0.2,0,0.0,933.0,-371.49,0,0,Sweeper
118,500,500,8,1.6,0,0.0,933.0,-371.18,0,0,Sweeper
119,500,500,7,1.4000000000000001,0,0.0,933.0,-367.8099999999998,0,0,Sweeper
120,500,500,5,1.0,0,0.0,933.0,-377.16000000000014,0,0,Sweeper
121,500,500,4,0.8,0,0.0,933.0,-375.5199999999999,0,0,Sweeper
122,500,500,7,1.4000000000000001,0,0.0,933.0,-373.99999999999966,0,0,Sweeper
123,500,500,7,1.4000000000000001,0,0.0,933.0,-358.46999999999997,0,0,Sweeper
124,500,500,0,0.0,0,0.0,933.0,-384.8500000000001,0,0,Sweeper
125,500,500,11,2.1999999999999997,0,0.0,933.0,-370.87000000000006,0,0,Sweeper
